INTERACTION_TYPE,INTERACTION_CATEGORY,VENUE,CREATE_DATE,INTERACTION_VENUE,RESIDENCY_PROGRAM,INITIATIVE,PRODUCT_NAME,PRODUCT__GROUP,DPO_COMPOUND,Customer Type,INITIATIVE__CATEGORY,MSL_ID,MSL,CALL_ID,THERAPY_NAME,CUSTOMER_TYPE,NAME,TOTAL_CLINICAL_PROGRAM_ATTENDEES,IS_PARENT__C,CLINICAL_INTERACTION_DETAIL_ID,INITIATIVES,INTERACTION_NAME,BIFURCATION
Face to Face,Online,Other,06-09-2023,Clinical Program Proactive,FALSE,Initiative 6,Product 3,Product Group 2,Compound 5,Others,Portfolio Management,7997A022,Gloria,721b2580e6b54303b1,THERAPY 1,KOL,WCT-410407,22,FALSE,e99FT112521,Initiative 10,IJ187536,MED
Face to Face,Online,Other,06-02-2025,Practice-Site,TRUE,Initiative 5,Product 2,Product Group 1,Compound 2,KOL,Study Support,291BBD1B,Bella,c806440c93484f45ba,THERAPY 1,Non KOL,WCT-410860,16,TRUE,e99FT364248,Initiative 10,IJ123434,MED
Face to Face,Online,Proactive,14-09-2024,Clinical Program Proactive,FALSE,Initiative 1,Product 1,Product Group 1,Compound 3,KOL,Study Support,6CFFEBF5,Bella,b96929f27c894e34b3,THERAPY 3,Non KOL,WCT-410007,12,FALSE,e99FT219021,Initiative 2,IJ444026,MED
Telephone,Online,Other,19-08-2023,Practice-Site,FALSE,Initiative 2,Product 2,Product Group 1,Compound 1,Others,Study Support,8A65F820,Kevin,5170dea43aa049128d,THERAPY 3,KOL,WCT-410171,9,TRUE,e99FT452054,Initiative 10,IJ653903,MED
Digital,In-Person,Other,23-05-2023,Clinical Program Reactive,FALSE,Initiative 2,Product 1,Product Group 3,Compound 3,KOL,Portfolio Management,B5C3CF36,Meilena,807214a046f24dfa9d,THERAPY 3,Non KOL,WCT-410968,1,FALSE,e99FT573562,Initiative 9,IJ551432,MED
Telephone,In-Person,Proactive,14-08-2024,Clinical Program Proactive,TRUE,Initiative 2,Product 1,Product Group 2,Compound 5,KOL,Portfolio Management,53BD24EE,Jorge,2b833091905147b0a5,THERAPY 1,Non KOL,WCT-410907,16,TRUE,e99FT826127,Initiative 3,IJ549653,COMM
Telephone,Mail,Proactive,28-12-2023,Clinical Program Reactive,FALSE,Initiative 4,Product 1,Product Group 2,Compound 5,Others,Elite Launch Support,834B8D57,Gloria,d1b06bd114044dc3b6,THERAPY 3,NON-KOL,WCT-410579,5,TRUE,e99FT646048,Initiative 3,IJ128026,MED
Video Conferencing,Online,Other,16-07-2023,Practice-Site,FALSE,Initiative 8,Product 2,Product Group 1,Compound 4,KOL,Study Support,545E9358,Merry,09a045d00fd744d880,THERAPY 3,NON-KOL,WCT-410140,15,TRUE,e99FT159908,Initiative 5,IJ169697,MED
Video Conferencing,Call,Other,25-05-2024,Practice-Site,TRUE,Initiative 7,Product 1,Product Group 2,Compound 1,KOL,Best Clinical Practices,916047EA,Morgan,96fd858729b14b5285,THERAPY 1,Non KOL,WCT-410251,6,FALSE,e99FT522374,Initiative 12,IJ725007,COMM
Video Conferencing,In-Person,Other,10-07-2024,Clinical Program Reactive,FALSE,Initiative 5,Product 2,Product Group 3,Compound 1,Others,Study Support,BCF8513F,Jorge,68322e7b8a1d4ccbb0,THERAPY 3,Non KOL,WCT-410741,18,TRUE,e99FT499730,Initiative 6,IJ284352,MED
Digital,Online,Reactive,05-11-2023,Clinical Program Reactive,TRUE,Initiative 5,Product 3,Product Group 1,Compound 3,KOL,Elite Launch Support,22F34AC2,Mathew,d8c9c10e7a64422083,THERAPY 3,NON-KOL,WCT-410417,12,FALSE,e99FT307531,Initiative 9,IJ755376,COMM
Face to Face,In-Person,Proactive,24-03-2025,Clinical Program Reactive,TRUE,Initiative 10,Product 1,Product Group 3,Compound 4,Others,FAS BTX Differentiations,1A1634EC,Shane,a7b88ec6dcb94b72b0,THERAPY 3,KOL,WCT-410175,1,TRUE,e99FT173835,Initiative 3,IJ608114,MED
Video Conferencing,In-Person,Proactive,20-12-2023,Off-Site,FALSE,Initiative 4,Product 2,Product Group 2,Compound 3,KOL,Portfolio Management,30EF785F,Shane,962ddacf71c34333bf,THERAPY 2,Non KOL,WCT-410296,22,TRUE,e99FT715075,Initiative 3,IJ169970,MED
Face to Face,Mail,Reactive,18-01-2025,Off-Site,TRUE,Initiative 5,Product 2,Product Group 2,Compound 4,Others,Elite Launch Support,AD420C55,Edward,e66ec57d36df45a195,THERAPY 3,KOL,WCT-410765,16,TRUE,e99FT688068,Initiative 12,IJ352805,COMM
Video Conferencing,Call,Other,26-10-2024,Clinical Program Reactive,FALSE,Initiative 5,Product 1,Product Group 1,Compound 3,KOL,Portfolio Management,ADFA04D0,Steve,42e32383ecf346c983,THERAPY 2,Non KOL,WCT-410344,25,TRUE,e99FT926112,Initiative 10,IJ568597,MED
Video Conferencing,Mail,Proactive,01-11-2024,Clinical Program Reactive,FALSE,Initiative 9,Product 3,Product Group 3,Compound 4,KOL,Study Support,2595A9A8,Elvin,23bccfc7b15e4631be,THERAPY 2,KOL,WCT-410281,11,FALSE,e99FT111103,Initiative 7,IJ637435,COMM
Face to Face,Call,Reactive,22-09-2024,Clinical Program Proactive,TRUE,Initiative 2,Product 2,Product Group 3,Compound 3,KOL,Portfolio Management,3991321F,Shane,9ec25698513d43c2b3,THERAPY 3,Non KOL,WCT-410260,16,TRUE,e99FT755888,Initiative 7,IJ797990,MED
Telephone,Mail,Proactive,14-11-2023,Clinical Program Reactive,TRUE,Initiative 6,Product 1,Product Group 3,Compound 1,KOL,Elite Launch Support,C856A31E,Merry,c9b7e8c835fa458ab6,THERAPY 3,NON-KOL,WCT-410635,9,FALSE,e99FT920481,Initiative 8,IJ464781,COMM
Digital,In-Person,Proactive,15-05-2024,Clinical Program Proactive,TRUE,Initiative 8,Product 2,Product Group 2,Compound 1,Others,Elite Launch Support,3F435040,Elvin,5119a08d19b0479788,THERAPY 2,Non KOL,WCT-410979,2,TRUE,e99FT560821,Initiative 4,IJ579046,MED
Digital,In-Person,Proactive,01-09-2023,Clinical Program Proactive,TRUE,Initiative 7,Product 2,Product Group 3,Compound 1,Others,Portfolio Management,B6E8814A,Collin,34d4ba9539884258a9,THERAPY 3,KOL,WCT-410789,8,FALSE,e99FT200914,Initiative 1,IJ195791,COMM
Digital,Online,Proactive,21-09-2023,Clinical Program Proactive,FALSE,Initiative 5,Product 1,Product Group 2,Compound 5,KOL,FAS BTX Differentiations,6ABF35F8,Harry,527122fcfb6e4b4986,THERAPY 1,KOL,WCT-410600,17,FALSE,e99FT349683,Initiative 6,IJ251343,MED
Face to Face,Call,Proactive,29-04-2023,Practice-Site,TRUE,Initiative 12,Product 2,Product Group 3,Compound 5,Others,Best Clinical Practices,D9AA2B76,Glen,57c7cdd36b4d4cf3a5,THERAPY 2,NON-KOL,WCT-410295,22,FALSE,e99FT515668,Initiative 5,IJ617165,COMM
Digital,Mail,Reactive,09-04-2024,Clinical Program Proactive,FALSE,Initiative 1,Product 2,Product Group 3,Compound 5,Others,Best Clinical Practices,39A2985A,Jorge,ab5d4d2cc66c43baa9,THERAPY 1,Non KOL,WCT-410975,4,FALSE,e99FT246787,Initiative 8,IJ377673,COMM
Face to Face,Call,Proactive,12-11-2024,Clinical Program Proactive,TRUE,Initiative 11,Product 1,Product Group 1,Compound 2,KOL,Elite Launch Support,1EFEA310,Harry,bc1ab825cf704f9d95,THERAPY 1,KOL,WCT-410171,8,FALSE,e99FT607934,Initiative 5,IJ134771,COMM
Video Conferencing,Online,Other,22-01-2025,Off-Site,TRUE,Initiative 9,Product 2,Product Group 1,Compound 1,Others,Study Support,8335A17F,Kevin,3312f35443ca4854bb,THERAPY 2,NON-KOL,WCT-410303,25,FALSE,e99FT217192,Initiative 1,IJ149859,MED
Digital,Online,Other,15-12-2023,Clinical Program Reactive,TRUE,Initiative 6,Product 3,Product Group 3,Compound 2,Others,Best Clinical Practices,E54F426C,Dimtri,0a6d2462f4444a9dab,THERAPY 2,NON-KOL,WCT-410982,2,TRUE,e99FT394275,Initiative 5,IJ192899,COMM
Video Conferencing,In-Person,Proactive,24-07-2024,Off-Site,TRUE,Initiative 10,Product 1,Product Group 1,Compound 1,KOL,Portfolio Management,98F1E87E,Alyssa,104af5548a5b4041ae,THERAPY 1,Non KOL,WCT-410278,17,FALSE,e99FT630105,Initiative 6,IJ523968,COMM
Digital,Mail,Other,10-10-2023,Off-Site,FALSE,Initiative 2,Product 2,Product Group 1,Compound 5,KOL,Best Clinical Practices,B709B0DE,Kevin,2f199209d0d14aa4b8,THERAPY 1,Non KOL,WCT-410031,10,TRUE,e99FT499548,Initiative 10,IJ127762,COMM
Video Conferencing,In-Person,Other,26-02-2025,Off-Site,TRUE,Initiative 6,Product 1,Product Group 3,Compound 5,KOL,Best Clinical Practices,91E9E87A,Kevin,65337fdfcc5448279d,THERAPY 3,NON-KOL,WCT-410945,23,FALSE,e99FT680278,Initiative 5,IJ138677,COMM
Telephone,Mail,Other,03-02-2025,Practice-Site,FALSE,Initiative 6,Product 3,Product Group 1,Compound 5,KOL,Elite Launch Support,97A1AF9D,Denver,775682e7d4d54a1586,THERAPY 2,KOL,WCT-410770,21,TRUE,e99FT319296,Initiative 8,IJ439131,COMM
Video Conferencing,In-Person,Reactive,01-03-2024,Clinical Program Proactive,FALSE,Initiative 4,Product 1,Product Group 2,Compound 1,KOL,Study Support,449EE9B9,Elvin,b31fc54c70e04f688a,THERAPY 1,Non KOL,WCT-410824,6,TRUE,e99FT483354,Initiative 2,IJ193418,COMM
Video Conferencing,In-Person,Reactive,30-04-2024,Clinical Program Proactive,TRUE,Initiative 8,Product 1,Product Group 3,Compound 3,Others,Best Clinical Practices,96BA3CA7,Daniella,181c65a635e4488e89,THERAPY 2,NON-KOL,WCT-410613,19,FALSE,e99FT439402,Initiative 10,IJ692963,MED
Video Conferencing,Call,Reactive,27-05-2024,Off-Site,FALSE,Initiative 1,Product 2,Product Group 1,Compound 3,Others,FAS BTX Differentiations,0E758697,Amanda,6eb064d3ffd446fa83,THERAPY 3,Non KOL,WCT-410698,3,TRUE,e99FT935350,Initiative 12,IJ878854,MED
Face to Face,Call,Reactive,29-01-2024,Clinical Program Reactive,TRUE,Initiative 4,Product 1,Product Group 2,Compound 1,KOL,Study Support,BE09F7D0,Meilena,90fb4b70f78541a0a9,THERAPY 1,KOL,WCT-410219,5,TRUE,e99FT191455,Initiative 1,IJ956235,COMM
Video Conferencing,Online,Reactive,26-08-2024,Off-Site,TRUE,Initiative 7,Product 2,Product Group 2,Compound 1,KOL,Elite Launch Support,C342E3FE,Paul,6a919b64cf204549a3,THERAPY 2,NON-KOL,WCT-410181,1,FALSE,e99FT230594,Initiative 2,IJ845243,COMM
Digital,In-Person,Proactive,02-08-2024,Practice-Site,FALSE,Initiative 11,Product 2,Product Group 1,Compound 1,Others,Elite Launch Support,506B9B00,Paul,9170e1b65a314f0b98,THERAPY 3,Non KOL,WCT-410514,17,FALSE,e99FT114398,Initiative 1,IJ350458,MED
Video Conferencing,Online,Other,29-11-2024,Practice-Site,TRUE,Initiative 10,Product 1,Product Group 1,Compound 3,Others,Elite Launch Support,4B40708A,Steve,e4be35f34b1e4c458d,THERAPY 3,Non KOL,WCT-410787,22,TRUE,e99FT399818,Initiative 10,IJ208145,MED
Face to Face,Call,Proactive,02-09-2023,Clinical Program Proactive,TRUE,Initiative 6,Product 2,Product Group 3,Compound 3,KOL,Study Support,7A10BF0A,Paul,5fef8a63e91544f1bf,THERAPY 2,NON-KOL,WCT-410052,23,TRUE,e99FT478931,Initiative 6,IJ823755,COMM
Face to Face,Call,Proactive,03-08-2023,Practice-Site,FALSE,Initiative 5,Product 1,Product Group 3,Compound 1,Others,FAS BTX Differentiations,508F1E32,Elvin,47b38e5212974f499c,THERAPY 3,Non KOL,WCT-410699,13,FALSE,e99FT520143,Initiative 2,IJ452026,COMM
Telephone,Call,Proactive,07-10-2023,Practice-Site,TRUE,Initiative 4,Product 2,Product Group 3,Compound 3,KOL,Elite Launch Support,7B1B07CB,Alyssa,d7e21c8c55324a90b5,THERAPY 3,KOL,WCT-410502,11,FALSE,e99FT407418,Initiative 4,IJ266917,COMM
Digital,In-Person,Reactive,12-12-2024,Practice-Site,FALSE,Initiative 1,Product 3,Product Group 1,Compound 1,KOL,Best Clinical Practices,6D6F184C,Elvin,82c0359fd70c406a87,THERAPY 3,NON-KOL,WCT-410805,17,FALSE,e99FT931320,Initiative 12,IJ448081,MED
Video Conferencing,Online,Reactive,15-02-2024,Clinical Program Reactive,TRUE,Initiative 7,Product 3,Product Group 3,Compound 3,Others,Study Support,E2B64F7C,Chris,6baa5bfa38274a0b9b,THERAPY 1,KOL,WCT-410323,8,TRUE,e99FT130677,Initiative 12,IJ743175,MED
Video Conferencing,In-Person,Proactive,10-09-2023,Practice-Site,TRUE,Initiative 1,Product 1,Product Group 1,Compound 2,Others,FAS BTX Differentiations,68BEC45F,Gloria,93c237008f754d7c98,THERAPY 2,Non KOL,WCT-410998,21,TRUE,e99FT197835,Initiative 10,IJ468982,MED
Face to Face,Mail,Reactive,25-05-2024,Off-Site,FALSE,Initiative 5,Product 1,Product Group 1,Compound 5,KOL,Portfolio Management,4C7FE1A5,Daniella,95f021c1dd3b4fa3bd,THERAPY 2,Non KOL,WCT-410815,0,FALSE,e99FT819943,Initiative 6,IJ626048,COMM
Telephone,Online,Reactive,11-12-2023,Clinical Program Proactive,FALSE,Initiative 10,Product 1,Product Group 1,Compound 2,Others,Study Support,28A2741D,Steve,7ab398660af4403588,THERAPY 3,KOL,WCT-410643,17,FALSE,e99FT300667,Initiative 12,IJ426172,COMM
Digital,Online,Reactive,04-06-2024,Practice-Site,FALSE,Initiative 6,Product 2,Product Group 1,Compound 1,Others,Study Support,2FADEC33,Steve,ada50507444845709b,THERAPY 1,KOL,WCT-410556,8,TRUE,e99FT555940,Initiative 11,IJ446142,MED
Telephone,Call,Reactive,09-01-2024,Off-Site,FALSE,Initiative 12,Product 1,Product Group 2,Compound 2,KOL,Study Support,6024DE3F,Gloria,af59481f0ab0402eb5,THERAPY 3,NON-KOL,WCT-410415,15,FALSE,e99FT987018,Initiative 9,IJ514116,MED
Telephone,Online,Reactive,06-07-2024,Off-Site,TRUE,Initiative 12,Product 3,Product Group 3,Compound 5,KOL,Study Support,CA984325,Mathew,ab9a0e8e59874ee08d,THERAPY 3,NON-KOL,WCT-410484,15,TRUE,e99FT663174,Initiative 7,IJ714361,COMM
Digital,Call,Reactive,14-08-2024,Clinical Program Reactive,FALSE,Initiative 9,Product 1,Product Group 1,Compound 3,Others,Elite Launch Support,FF55B433,Merry,f07080ab619e45aaab,THERAPY 2,Non KOL,WCT-410382,15,TRUE,e99FT798553,Initiative 11,IJ553199,COMM
Digital,Call,Proactive,11-06-2024,Clinical Program Reactive,FALSE,Initiative 9,Product 1,Product Group 1,Compound 1,KOL,Study Support,C9FF064D,Morgan,5b11d395cab04866a9,THERAPY 3,NON-KOL,WCT-410109,0,FALSE,e99FT768378,Initiative 12,IJ116596,COMM
Face to Face,In-Person,Other,13-05-2023,Clinical Program Reactive,TRUE,Initiative 4,Product 3,Product Group 1,Compound 1,KOL,FAS BTX Differentiations,F9244BFB,Glen,c8769c0f4f6e4dfeb8,THERAPY 3,Non KOL,WCT-410537,22,TRUE,e99FT212447,Initiative 2,IJ528398,MED
Video Conferencing,Call,Reactive,03-12-2024,Clinical Program Proactive,TRUE,Initiative 5,Product 3,Product Group 1,Compound 1,KOL,Portfolio Management,73EC1F27,Elvin,8b07ba8d58ec43a5be,THERAPY 1,NON-KOL,WCT-410654,6,FALSE,e99FT506706,Initiative 4,IJ843527,COMM
Video Conferencing,Mail,Proactive,09-04-2023,Practice-Site,FALSE,Initiative 5,Product 1,Product Group 2,Compound 3,Others,Elite Launch Support,A29E3A61,Kren,b3f7a2424da747e59b,THERAPY 1,Non KOL,WCT-410047,21,TRUE,e99FT793439,Initiative 1,IJ935662,COMM
Face to Face,Online,Reactive,03-04-2024,Practice-Site,TRUE,Initiative 12,Product 2,Product Group 1,Compound 5,KOL,Study Support,17CAC79D,Amanda,467eb6bffb304e5dad,THERAPY 3,Non KOL,WCT-410220,10,TRUE,e99FT236443,Initiative 7,IJ195758,MED
Face to Face,Mail,Proactive,02-10-2023,Clinical Program Reactive,TRUE,Initiative 3,Product 3,Product Group 2,Compound 3,KOL,Portfolio Management,4349E5C7,Paul,df44666264a94aed9d,THERAPY 2,Non KOL,WCT-410048,3,FALSE,e99FT234824,Initiative 8,IJ311083,MED
Digital,Online,Reactive,27-12-2023,Clinical Program Reactive,TRUE,Initiative 4,Product 2,Product Group 2,Compound 5,Others,Study Support,EDFED697,Glen,38536147dcfb476081,THERAPY 2,Non KOL,WCT-410882,1,TRUE,e99FT419582,Initiative 2,IJ304962,MED
Telephone,Mail,Other,03-05-2023,Practice-Site,TRUE,Initiative 3,Product 2,Product Group 3,Compound 3,KOL,FAS BTX Differentiations,8D2539FF,Gloria,211eec91d375475b84,THERAPY 2,NON-KOL,WCT-410553,25,FALSE,e99FT523260,Initiative 2,IJ974885,MED
Video Conferencing,Mail,Proactive,26-08-2024,Clinical Program Reactive,FALSE,Initiative 10,Product 2,Product Group 2,Compound 3,KOL,Elite Launch Support,DAA02E40,Sanchez,b013e4e36b7a45599a,THERAPY 2,KOL,WCT-410461,15,TRUE,e99FT894867,Initiative 2,IJ263140,MED
Video Conferencing,In-Person,Reactive,10-08-2024,Clinical Program Proactive,TRUE,Initiative 10,Product 2,Product Group 3,Compound 5,Others,Study Support,7.39E+37,Amanda,b49f6b16f2e6430a9c,THERAPY 2,Non KOL,WCT-410869,20,TRUE,e99FT762476,Initiative 12,IJ566653,MED
Face to Face,Call,Proactive,03-07-2023,Clinical Program Proactive,FALSE,Initiative 7,Product 1,Product Group 3,Compound 4,KOL,Elite Launch Support,5DB1142C,Elvin,c69c9fcc3de5403db3,THERAPY 1,KOL,WCT-410384,4,TRUE,e99FT363134,Initiative 10,IJ240341,MED
Video Conferencing,Mail,Other,09-04-2023,Clinical Program Proactive,TRUE,Initiative 11,Product 2,Product Group 1,Compound 4,Others,Portfolio Management,B3BFDED2,Glen,9844db82443a4d7c97,THERAPY 1,KOL,WCT-410245,4,FALSE,e99FT910241,Initiative 5,IJ402004,COMM
Face to Face,Online,Proactive,26-08-2023,Practice-Site,TRUE,Initiative 2,Product 3,Product Group 2,Compound 3,KOL,FAS BTX Differentiations,CF91F8FA,Alyssa,31f349cfffc64a8aa7,THERAPY 3,Non KOL,WCT-410292,11,FALSE,e99FT883283,Initiative 8,IJ203247,COMM
Video Conferencing,Mail,Proactive,20-06-2024,Practice-Site,TRUE,Initiative 3,Product 2,Product Group 1,Compound 3,KOL,FAS BTX Differentiations,8B249E9C,Robin,2b68d643a51a40dcb8,THERAPY 2,NON-KOL,WCT-410753,12,FALSE,e99FT872257,Initiative 12,IJ528472,COMM
Telephone,Call,Reactive,20-05-2023,Clinical Program Proactive,FALSE,Initiative 7,Product 2,Product Group 3,Compound 2,Others,FAS BTX Differentiations,26BA9C66,Merry,8b5864c43e354e1e9f,THERAPY 2,KOL,WCT-410752,24,FALSE,e99FT193677,Initiative 2,IJ386094,COMM
Video Conferencing,In-Person,Other,12-04-2023,Clinical Program Reactive,FALSE,Initiative 1,Product 1,Product Group 2,Compound 5,KOL,FAS BTX Differentiations,80B966C7,Merry,68266618999147ab8e,THERAPY 3,KOL,WCT-410802,21,FALSE,e99FT995518,Initiative 5,IJ808001,MED
Video Conferencing,In-Person,Reactive,10-06-2024,Clinical Program Proactive,TRUE,Initiative 6,Product 1,Product Group 3,Compound 4,Others,Best Clinical Practices,517F2BBE,Elvin,aa2efe6e445d434b8a,THERAPY 2,KOL,WCT-410255,17,TRUE,e99FT584179,Initiative 11,IJ613752,MED
Digital,In-Person,Other,15-05-2023,Clinical Program Reactive,TRUE,Initiative 12,Product 1,Product Group 3,Compound 4,Others,Study Support,0E6E2044,Alyssa,08843f783e784db9ba,THERAPY 1,KOL,WCT-410377,0,FALSE,e99FT564760,Initiative 3,IJ774547,MED
Digital,Call,Other,18-09-2023,Clinical Program Proactive,FALSE,Initiative 5,Product 1,Product Group 3,Compound 3,Others,Elite Launch Support,7F8DDE84,Alyssa,a0c3d0f451144b748f,THERAPY 2,KOL,WCT-410494,20,TRUE,e99FT596675,Initiative 9,IJ746000,MED
Telephone,Call,Other,06-12-2023,Clinical Program Reactive,TRUE,Initiative 4,Product 3,Product Group 2,Compound 4,Others,Portfolio Management,7D31A16C,Robin,52498c178bd14f59a5,THERAPY 2,Non KOL,WCT-410434,24,FALSE,e99FT132830,Initiative 9,IJ841978,MED
Video Conferencing,In-Person,Proactive,07-05-2024,Clinical Program Proactive,FALSE,Initiative 11,Product 3,Product Group 3,Compound 4,Others,Best Clinical Practices,D7E08E2A,Kevin,bac710fd2ab1473a86,THERAPY 3,KOL,WCT-410674,13,FALSE,e99FT678764,Initiative 3,IJ112303,COMM
Video Conferencing,In-Person,Proactive,21-08-2023,Clinical Program Proactive,TRUE,Initiative 10,Product 3,Product Group 3,Compound 4,KOL,Elite Launch Support,312D81CF,Bella,fa1dabb6d4b94cb397,THERAPY 3,NON-KOL,WCT-410038,10,TRUE,e99FT964186,Initiative 9,IJ746038,COMM
Face to Face,Mail,Reactive,08-05-2023,Clinical Program Reactive,TRUE,Initiative 8,Product 1,Product Group 2,Compound 1,KOL,Study Support,FA086207,Paul,87341e7230454c5083,THERAPY 1,KOL,WCT-410379,6,TRUE,e99FT949956,Initiative 1,IJ816694,MED
Video Conferencing,Call,Proactive,05-11-2023,Clinical Program Reactive,FALSE,Initiative 4,Product 1,Product Group 3,Compound 1,Others,Study Support,E0E91BE6,Mathew,c6070d915f704c198e,THERAPY 3,Non KOL,WCT-410979,21,TRUE,e99FT729830,Initiative 3,IJ681039,MED
Face to Face,In-Person,Reactive,16-07-2024,Off-Site,FALSE,Initiative 12,Product 3,Product Group 3,Compound 4,KOL,Study Support,5A026E7A,Glen,c4fa1d7aad18461fbb,THERAPY 1,Non KOL,WCT-410533,13,TRUE,e99FT595063,Initiative 1,IJ344605,MED
Digital,In-Person,Other,12-05-2023,Off-Site,TRUE,Initiative 11,Product 1,Product Group 3,Compound 2,Others,Best Clinical Practices,84960FD7,Dimtri,d6eadd777d384da1a7,THERAPY 2,KOL,WCT-410366,3,FALSE,e99FT790945,Initiative 6,IJ550621,MED
Face to Face,Online,Reactive,17-06-2024,Clinical Program Reactive,FALSE,Initiative 12,Product 2,Product Group 2,Compound 3,KOL,FAS BTX Differentiations,7F051D5E,Alyssa,3312cc15c75d4b15bf,THERAPY 1,NON-KOL,WCT-410749,1,FALSE,e99FT727126,Initiative 8,IJ496460,COMM
Telephone,Call,Reactive,20-07-2024,Clinical Program Proactive,FALSE,Initiative 11,Product 1,Product Group 2,Compound 1,Others,Elite Launch Support,293FD9B4,Collin,8eaaa67a972c42f79c,THERAPY 1,NON-KOL,WCT-410216,8,TRUE,e99FT390737,Initiative 5,IJ124067,COMM
Video Conferencing,Online,Reactive,05-06-2023,Clinical Program Reactive,FALSE,Initiative 3,Product 2,Product Group 2,Compound 3,Others,Best Clinical Practices,1.16E+67,Daniella,8fb0bf9f3c0e40d2aa,THERAPY 3,Non KOL,WCT-410442,14,FALSE,e99FT113024,Initiative 7,IJ405113,COMM
Digital,Online,Proactive,28-07-2024,Clinical Program Reactive,TRUE,Initiative 9,Product 2,Product Group 2,Compound 3,Others,Portfolio Management,EEAD95E5,Kren,d86de7b6575845018b,THERAPY 1,NON-KOL,WCT-410421,5,FALSE,e99FT287658,Initiative 11,IJ860823,MED
Video Conferencing,In-Person,Other,09-09-2023,Practice-Site,FALSE,Initiative 5,Product 2,Product Group 2,Compound 4,KOL,Best Clinical Practices,7E4AF9BE,Merry,70aa88a8d39f48ccb8,THERAPY 2,KOL,WCT-410349,4,FALSE,e99FT276382,Initiative 12,IJ237464,MED
Video Conferencing,Online,Reactive,29-03-2024,Practice-Site,TRUE,Initiative 7,Product 3,Product Group 3,Compound 4,Others,Study Support,F800E475,Edward,da86b3f0d0ba4845a9,THERAPY 1,KOL,WCT-410495,2,FALSE,e99FT288146,Initiative 8,IJ784629,MED
Digital,In-Person,Reactive,23-10-2024,Clinical Program Proactive,TRUE,Initiative 4,Product 3,Product Group 2,Compound 3,Others,FAS BTX Differentiations,38EADC2F,Shane,696c3aca1f7c43dfaf,THERAPY 2,KOL,WCT-410763,18,TRUE,e99FT105145,Initiative 4,IJ221900,MED
Face to Face,Mail,Proactive,22-11-2023,Clinical Program Reactive,TRUE,Initiative 11,Product 3,Product Group 3,Compound 3,KOL,Elite Launch Support,893216D4,Denver,10010bf4590147cf90,THERAPY 2,Non KOL,WCT-410308,10,FALSE,e99FT730711,Initiative 12,IJ388936,MED
Telephone,Online,Reactive,24-02-2025,Off-Site,FALSE,Initiative 11,Product 3,Product Group 2,Compound 5,KOL,Best Clinical Practices,40689BEF,Amanda,a0584afb193e4c228c,THERAPY 3,Non KOL,WCT-410163,13,FALSE,e99FT985329,Initiative 2,IJ598217,MED
Telephone,Online,Reactive,02-09-2023,Practice-Site,TRUE,Initiative 6,Product 3,Product Group 2,Compound 3,KOL,Best Clinical Practices,EDC01EB7,Bella,85f464240e4440be97,THERAPY 2,NON-KOL,WCT-410997,20,FALSE,e99FT868407,Initiative 5,IJ752649,COMM
Telephone,Mail,Other,29-10-2024,Clinical Program Reactive,FALSE,Initiative 4,Product 1,Product Group 2,Compound 1,KOL,Best Clinical Practices,234B2783,Robin,48348f4106a74c8aa2,THERAPY 3,KOL,WCT-410991,17,FALSE,e99FT755366,Initiative 12,IJ448981,MED
Telephone,Mail,Other,01-10-2023,Off-Site,TRUE,Initiative 9,Product 1,Product Group 2,Compound 4,Others,Best Clinical Practices,517F1F6E,Mathew,d11345cb3e8743bab9,THERAPY 1,KOL,WCT-410779,2,TRUE,e99FT987322,Initiative 7,IJ672973,COMM
Video Conferencing,In-Person,Proactive,25-07-2024,Clinical Program Proactive,FALSE,Initiative 10,Product 3,Product Group 2,Compound 5,KOL,Best Clinical Practices,27ACD13C,Merry,1c8b2578744e4bcf8c,THERAPY 2,NON-KOL,WCT-410346,16,FALSE,e99FT741488,Initiative 11,IJ374954,MED
Telephone,Mail,Other,23-02-2024,Clinical Program Reactive,TRUE,Initiative 9,Product 2,Product Group 2,Compound 4,KOL,Elite Launch Support,F564B5A3,Mathew,88017c65dde94df8af,THERAPY 2,NON-KOL,WCT-410672,14,TRUE,e99FT824586,Initiative 12,IJ485351,COMM
Video Conferencing,Call,Proactive,30-11-2024,Off-Site,TRUE,Initiative 3,Product 1,Product Group 1,Compound 5,KOL,Best Clinical Practices,33A8B944,Bella,714e30ecc156426a85,THERAPY 1,Non KOL,WCT-410524,22,TRUE,e99FT841733,Initiative 1,IJ210278,MED
Telephone,In-Person,Proactive,27-06-2023,Off-Site,FALSE,Initiative 4,Product 1,Product Group 3,Compound 2,KOL,Best Clinical Practices,301654F8,Meilena,184353cb7069484389,THERAPY 2,NON-KOL,WCT-410554,22,TRUE,e99FT825118,Initiative 6,IJ249759,COMM
Video Conferencing,Call,Proactive,17-01-2025,Clinical Program Reactive,FALSE,Initiative 6,Product 3,Product Group 1,Compound 5,Others,Portfolio Management,BD606A86,Merry,42d1b2b2a26c4f0eb8,THERAPY 3,NON-KOL,WCT-410019,12,TRUE,e99FT416272,Initiative 3,IJ239842,COMM
